"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2020","214.80","217.90","222.50","214.45","3.86K","-1.33%"
"06/21/2020","217.70","214.70","218.55","213.25","1.01K","1.49%"
"06/14/2020","214.50","209.05","215.00","208.80","2.32K","2.39%"
"06/07/2020","209.50","206.05","211.00","203.95","1.57K","1.70%"
"05/31/2020","206.00","199.60","208.45","199.60","1.24K","0.51%"
"05/24/2020","204.95","203.70","205.80","203.10","4.14K","0.64%"
"05/17/2020","203.65","200.75","204.00","198.00","5.03K","1.42%"
"05/10/2020","200.80","194.70","201.35","194.30","5.57K","3.03%"
"05/03/2020","194.90","194.00","197.80","193.10","5.15K","-2.10%"
"04/26/2020","199.09","199.00","200.00","198.60","0.20K","-1.29%"
"04/19/2020","201.70","195.80","198.50","194.80","0.61K","2.78%"
"04/12/2020","196.25","191.00","198.00","190.05","0.33K","1.74%"
"04/05/2020","192.90","188.70","194.00","187.55","0.40K","1.53%"
"03/29/2020","190.00","200.55","201.95","188.00","1.24K","-5.33%"
"03/22/2020","200.70","193.40","201.00","192.00","0.81K","2.40%"
"03/15/2020","196.00","192.10","196.00","183.10","2.46K","2.03%"
"03/08/2020","192.10","203.00","203.00","189.60","2.36K","-5.86%"
"03/01/2020","204.05","203.00","206.00","202.50","1.44K","1.23%"
"02/23/2020","201.57","200.35","201.80","199.00","1.28K","0.66%"
"02/16/2020","200.25","197.40","201.50","197.00","3.00K","1.39%"
"02/09/2020","197.50","195.65","200.00","194.05","5.17K","0.84%"
"02/02/2020","195.85","196.45","199.00","194.05","6.43K","3.25%"
"01/26/2020","189.68","188.85","190.50","187.20","2.88K","0.36%"
"01/19/2020","189.00","187.30","189.50","186.45","5.56K","0.85%"
"01/12/2020","187.40","192.50","194.45","186.60","4.94K","-2.83%"
"01/05/2020","192.85","197.50","200.50","191.90","3.14K","-2.11%"
